event_id,date,city,country,venue,is_apex
51b1e2fd9872005b,2023-04-29,Las Vegas,USA,,0
6fb1ba67bef41b37,2023-04-22,Las Vegas,USA,,0
15b1b21cd743d652,2023-04-15,Kansas City,USA,,0
3dc3022232b79c7a,2023-04-08,Miami,USA,,0
aec273fcb765330d,2023-03-25,San Antonio,USA,,0
e4bb7e483c4ad318,2023-03-18,London,United Kingdom,,0
35080a7f406f9ab3,2023-03-11,Las Vegas,USA,,0
1ccff7f0cfdf85eb,2023-03-04,Las Vegas,USA,,0
806975e1b4f47b27,2023-02-25,Las Vegas,USA,,0
f21a3d68fb9df387,2023-02-18,Las Vegas,USA,,0
01dd4cdc2446f665,2023-02-11,Perth,Australia,,0
d26394fc0e8e880a,2023-02-04,Las Vegas,USA,,0
5717efc6f271cd52,2023-01-21,Rio de Janeiro,Brazil,,0
2e2cdb6e9eb84bb9,2023-01-14,Las Vegas,USA,,0
56ec58954158966a,2022-12-17,Las Vegas,USA,,0
f65a0eb902f9476b,2022-12-10,Las Vegas,USA,,0
b23388ff8ac6637b,2022-12-03,Orlando,USA,,0
012fc7cd0779c09a,2022-11-19,Las Vegas,USA,,0
b3b6e80b7d5f8f0d,2022-11-12,New York City,USA,,0
756f45905fb20cb5,2022-11-05,Las Vegas,USA,,0
be5aab761c40ef35,2022-10-29,Las Vegas,USA,,0
885e7f70dcac0007,2022-10-22,Abu Dhabi,United Arab Emirates,,0
49c29e57d4e2be6f,2022-10-15,Las Vegas,USA,,0
4f670b7972fa0a2e,2022-10-01,Las Vegas,USA,,0
8d477c3fbe001f9d,2022-09-17,Las Vegas,USA,,0
93bf96be327fcd98,2022-09-10,Las Vegas,USA,,0
00a905a4a4a2b071,2022-09-03,Paris,France,,0
4f853e98886283cf,2022-08-20,Salt Lake City,USA,,0
a23e63184c65f5b8,2022-08-13,San Diego,USA,,0
8f6a18831a120817,2022-08-06,Las Vegas,USA,,0
b0a6124751a56bc4,2022-07-30,Dallas,USA,,0
319c15b8aac5bfde,2022-07-23,London,United Kingdom,,0
8fd76e1b49c00ae2,2022-07-16,Elmont,USA,,0
31da66df48c0c1a0,2022-07-09,Las Vegas,USA,,0
4a9e305633f3ef47,2022-07-02,Las Vegas,USA,,0
eb42d4febfafefd1,2022-06-25,Las Vegas,USA,,0
a0a680fe2f6cc8e6,2022-06-18,Austin,USA,,0
3a24769a4855040a,2022-06-11,Kallang,Singapore,,0
57591bbf1623574e,2022-06-04,Las Vegas,USA,,0
a6c32678efd4f434,2022-05-21,Las Vegas,USA,,0
60ba33c3f555a7a3,2022-05-14,Las Vegas,USA,,0
253d3f9e97ca149a,2022-05-07,Phoenix,USA,,0
6bf5a7d3e081ade2,2022-04-30,Las Vegas,USA,,0
