fight_id,round,r_kd,r_sig_landed,r_sig_attempts,r_td,r_ctrl_sec,r_head_landed,r_body_landed,r_leg_landed,r_distance_landed,r_clinch_landed,r_ground_landed,b_kd,b_sig_landed,b_sig_attempts,b_td,b_ctrl_sec,b_head_landed,b_body_landed,b_leg_landed,b_distance_landed,b_clinch_landed,b_ground_landed,r_total_landed,r_total_attempts,r_td_attempts,r_sub_att,r_rev,b_total_landed,b_total_attempts,b_td_attempts,b_sub_att,b_rev,r_head_attempts,r_body_attempts,r_leg_attempts,b_head_attempts,b_body_attempts,b_leg_attempts,r_distance_attempts,r_clinch_attempts,r_ground_attempts,b_distance_attempts,b_clinch_attempts,b_ground_attempts
8e5744c664fec3e9,1,0,12,23,2,181,7,0,5,7,5,0,0,8,22,0,0,5,2,1,8,0,0,,,,,,,,,,,,,,,,,,,,,,
36ec204f47e4d613,1,0,2,6,0,12,0,2,0,2,0,0,0,2,7,3,220,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
7513a00037094075,1,0,39,63,0,65,21,12,6,25,14,0,1,36,82,0,6,23,9,4,28,8,0,,,,,,,,,,,,,,,,,,,,,,
19764211af05674c,1,0,10,22,0,23,6,1,3,9,1,0,0,15,30,1,124,3,6,6,5,10,0,,,,,,,,,,,,,,,,,,,,,,
e512b80bbaea36c2,1,0,8,20,2,96,5,2,1,3,3,2,0,4,11,0,101,0,3,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,
5fcf18bcd2a020f1,1,0,52,105,0,0,33,16,3,48,4,0,0,26,77,0,2,25,1,0,24,2,0,,,,,,,,,,,,,,,,,,,,,,
fff3218758c513b8,1,0,44,95,0,0,37,7,0,43,1,0,0,26,68,1,42,21,3,2,26,0,0,,,,,,,,,,,,,,,,,,,,,,
2bfc0212f2cae65b,1,0,35,92,0,0,20,8,7,34,1,0,0,53,85,0,0,35,8,10,52,1,0,,,,,,,,,,,,,,,,,,,,,,
8c140756bf43dcc2,1,0,19,37,0,71,15,4,0,19,0,0,0,18,47,0,0,9,7,2,15,3,0,,,,,,,,,,,,,,,,,,,,,,
a12d3a6c8aaf87ca,1,0,16,32,0,0,9,1,6,16,0,0,0,9,46,0,0,8,1,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,
d75b3d3c2b209b75,1,0,7,11,1,265,7,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
79dfbbdd14fbbd11,1,0,17,59,0,15,15,2,0,16,1,0,0,20,58,0,0,11,4,5,20,0,0,,,,,,,,,,,,,,,,,,,,,,
e5bd7e6e2a50a843,1,0,15,41,0,0,12,2,1,15,0,0,0,13,27,0,4,5,4,4,12,1,0,,,,,,,,,,,,,,,,,,,,,,
1714950933f88ab9,1,0,10,44,0,11,10,0,0,8,2,0,0,6,19,1,16,5,0,1,4,2,0,,,,,,,,,,,,,,,,,,,,,,
08c04f18b0f58d71,1,0,4,15,0,0,2,0,2,4,0,0,0,11,21,0,0,5,1,5,11,0,0,,,,,,,,,,,,,,,,,,,,,,
ec2034b134ae71cd,1,0,8,34,0,0,5,2,1,8,0,0,0,16,41,0,0,6,5,5,16,0,0,,,,,,,,,,,,,,,,,,,,,,
13e2ff8b3a122094,1,0,17,27,0,34,7,10,0,14,2,1,0,10,20,1,55,2,2,6,9,0,1,,,,,,,,,,,,,,,,,,,,,,
e861e9cc0118c670,1,0,15,45,0,0,15,0,0,15,0,0,0,10,41,0,0,2,6,2,9,1,0,,,,,,,,,,,,,,,,,,,,,,
f6454f2e508626ec,1,1,25,39,0,8,11,9,5,22,3,0,0,6,27,0,0,3,1,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,
b39b8ff0d7de211a,1,0,9,39,2,102,6,1,2,8,0,1,0,25,73,0,9,13,7,5,22,3,0,,,,,,,,,,,,,,,,,,,,,,
59c4fdb3c0673066,1,0,7,13,1,267,5,0,2,4,3,0,0,1,6,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2ae7404681deb3b3,1,0,2,3,0,0,1,0,1,2,0,0,0,15,23,1,238,9,1,5,8,0,7,,,,,,,,,,,,,,,,,,,,,,
ab325ea526824723,1,0,35,57,1,44,22,8,5,33,2,0,0,5,39,0,12,0,5,0,4,1,0,,,,,,,,,,,,,,,,,,,,,,
e61d83e4e1f9c4d7,1,0,17,37,2,114,10,7,0,9,3,5,0,12,23,0,0,5,6,1,11,1,0,,,,,,,,,,,,,,,,,,,,,,
81b84b34f0357fa5,1,0,6,17,0,0,5,1,0,2,0,4,0,8,24,1,155,5,1,2,5,0,3,,,,,,,,,,,,,,,,,,,,,,
e28e829800466aca,1,0,8,20,0,0,3,2,3,8,0,0,2,21,39,0,16,16,5,0,17,1,3,,,,,,,,,,,,,,,,,,,,,,
df5dac45fc585fb0,1,0,43,91,0,0,18,18,7,43,0,0,0,36,74,0,0,22,5,9,35,1,0,,,,,,,,,,,,,,,,,,,,,,
2129acab2280bd29,1,0,22,40,0,0,13,3,6,22,0,0,0,35,64,0,0,23,5,7,21,14,0,,,,,,,,,,,,,,,,,,,,,,
b6a87389bdc36a00,1,0,22,40,0,0,7,2,13,22,0,0,1,28,55,0,3,24,2,2,26,1,1,,,,,,,,,,,,,,,,,,,,,,
01100a90b584215d,1,1,27,36,0,27,23,4,0,7,0,20,0,8,22,0,0,3,2,3,8,0,0,,,,,,,,,,,,,,,,,,,,,,
ac977a0389682124,1,0,14,36,1,96,11,1,2,14,0,0,0,27,59,0,0,12,8,7,26,1,0,,,,,,,,,,,,,,,,,,,,,,
f0488a4486a64af0,1,0,21,40,0,122,16,5,0,12,9,0,0,30,44,0,109,15,14,1,11,19,0,,,,,,,,,,,,,,,,,,,,,,
d078e9046aa86307,1,0,17,41,0,0,9,4,4,15,2,0,0,46,65,0,0,16,12,18,39,7,0,,,,,,,,,,,,,,,,,,,,,,
9f4a0de31375ba04,1,0,2,4,0,0,2,0,0,2,0,0,1,6,8,0,0,4,0,2,5,0,1,,,,,,,,,,,,,,,,,,,,,,
2e4064e0e6d4d92e,1,0,19,27,4,165,11,5,3,12,7,0,0,14,25,0,79,11,3,0,8,4,2,,,,,,,,,,,,,,,,,,,,,,
0e8599eca8ccfa32,1,0,31,46,0,2,15,6,10,31,0,0,0,14,36,0,83,12,1,1,14,0,0,,,,,,,,,,,,,,,,,,,,,,
212527d462690304,1,0,10,19,4,186,3,4,3,4,2,4,0,2,14,0,0,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,
305d8c85b35a7d4e,1,0,1,3,0,59,0,1,0,0,1,0,0,1,1,2,102,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
7aaa810540132a4b,1,1,17,29,0,30,16,0,1,11,6,0,0,3,9,0,0,1,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,
106918bfbe24335d,1,0,18,48,0,66,15,3,0,13,5,0,0,17,31,0,8,5,5,7,17,0,0,,,,,,,,,,,,,,,,,,,,,,
ad68450307a21ab1,1,0,6,11,2,66,3,3,0,2,4,0,0,10,15,3,181,8,1,1,2,1,7,,,,,,,,,,,,,,,,,,,,,,
baa2ee0bf7f97079,1,0,11,20,2,247,6,5,0,4,5,2,0,4,9,0,4,0,1,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,
2521fed000747f47,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,87,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
ae89ba793121fe0c,1,0,36,92,0,0,23,9,4,36,0,0,0,24,84,0,0,16,3,5,24,0,0,,,,,,,,,,,,,,,,,,,,,,
73240bea13ed5e71,1,0,23,45,0,29,17,2,4,21,2,0,0,26,86,0,16,18,6,2,24,2,0,,,,,,,,,,,,,,,,,,,,,,
a81ad236a2f221f2,1,0,5,18,1,30,4,0,1,5,0,0,2,33,56,0,10,31,0,2,25,2,6,,,,,,,,,,,,,,,,,,,,,,
dcb27eef6441268c,1,0,19,30,0,42,4,7,8,18,1,0,0,9,27,0,3,4,2,3,8,1,0,,,,,,,,,,,,,,,,,,,,,,
b3044bf646306e7f,1,0,5,13,0,74,2,1,2,5,0,0,0,13,27,1,84,8,2,3,11,1,1,,,,,,,,,,,,,,,,,,,,,,
fe2acfdaaaec3dba,1,0,10,26,1,36,5,1,4,9,0,1,0,32,75,0,1,14,7,11,32,0,0,,,,,,,,,,,,,,,,,,,,,,
a9a6cca4bbf7a5db,1,0,7,18,0,9,1,1,5,6,1,0,0,12,24,1,86,6,4,2,11,0,1,,,,,,,,,,,,,,,,,,,,,,
8ba31cf0b3164b72,1,1,7,13,1,156,5,0,2,5,0,2,0,5,9,0,0,3,0,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,
d6e2bc6e6c0cc4fe,1,0,9,12,1,81,4,1,4,6,0,3,0,3,10,0,0,0,0,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,
f75fe8b384b0db11,1,0,9,11,1,225,5,2,2,8,1,0,0,5,19,0,0,3,1,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,
66887532be2de5ee,1,0,9,17,0,0,5,2,2,8,1,0,0,15,22,3,245,8,5,2,7,8,0,,,,,,,,,,,,,,,,,,,,,,
18a7dc86279066f8,1,0,14,22,1,33,5,6,3,11,3,0,0,4,17,0,0,2,0,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,
afdd95ae7b7cdb0c,1,0,26,61,0,0,18,2,6,21,5,0,0,16,51,0,8,11,3,2,11,5,0,,,,,,,,,,,,,,,,,,,,,,
b873c116e39c9920,1,0,21,49,0,4,15,5,1,18,3,0,0,28,61,0,0,14,7,7,27,1,0,,,,,,,,,,,,,,,,,,,,,,
9e9d1764a015f313,1,0,19,36,1,94,15,0,4,18,0,1,0,13,32,0,0,6,5,2,13,0,0,,,,,,,,,,,,,,,,,,,,,,
891b2faf1bff38ee,1,0,23,59,0,0,12,6,5,23,0,0,0,21,46,0,0,15,4,2,18,3,0,,,,,,,,,,,,,,,,,,,,,,
0f53eb509d0ffeb9,1,0,11,36,0,13,7,0,4,10,1,0,0,16,48,0,0,6,3,7,16,0,0,,,,,,,,,,,,,,,,,,,,,,
c7190cd03e53fb61,1,0,10,16,2,272,7,1,2,2,0,8,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2521234a4bf7c615,1,0,27,47,0,0,12,5,10,25,2,0,0,10,29,0,0,9,0,1,9,1,0,,,,,,,,,,,,,,,,,,,,,,
4db2d86ebe8c8abd,1,0,4,8,0,0,0,0,4,4,0,0,0,11,18,1,72,9,1,1,8,0,3,,,,,,,,,,,,,,,,,,,,,,
c812457a810dde39,1,0,12,34,0,0,7,1,4,12,0,0,0,17,46,0,0,4,3,10,17,0,0,,,,,,,,,,,,,,,,,,,,,,
99aa1f28e22bb6dd,1,0,31,76,0,0,2,11,18,31,0,0,0,12,30,0,0,11,1,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,
6ecfa439ef900bcc,1,1,14,24,0,18,11,3,0,4,7,3,0,6,12,0,0,4,2,0,1,5,0,,,,,,,,,,,,,,,,,,,,,,
0e0a4282cd6c86d7,1,0,33,78,0,67,20,6,7,33,0,0,0,35,61,0,0,16,10,9,34,1,0,,,,,,,,,,,,,,,,,,,,,,
c20bd12ae7f04eff,1,0,1,4,0,0,1,0,0,1,0,0,1,8,11,0,2,7,1,0,6,0,2,,,,,,,,,,,,,,,,,,,,,,
9b3bade95e1dd484,1,0,31,39,1,217,22,1,8,10,0,21,0,2,2,1,4,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
380242601a2c5991,1,0,5,10,0,112,2,3,0,1,4,0,0,2,6,1,120,1,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,
191ee545160a4e09,1,0,15,35,0,2,5,3,7,15,0,0,0,35,81,0,7,20,13,2,34,1,0,,,,,,,,,,,,,,,,,,,,,,
5ce29056e0cd2df9,1,0,4,12,1,127,2,1,1,3,1,0,0,4,7,1,86,2,1,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,
6ccd10adc968e1f0,1,0,22,43,0,0,16,6,0,22,0,0,0,27,50,0,55,12,7,8,23,4,0,,,,,,,,,,,,,,,,,,,,,,
9039959b41901412,1,0,21,47,0,0,6,3,12,20,1,0,0,39,103,2,43,22,9,8,36,3,0,,,,,,,,,,,,,,,,,,,,,,
2707dc2245335cc1,1,0,31,61,0,25,14,9,8,19,12,0,0,22,55,0,47,14,4,4,20,2,0,,,,,,,,,,,,,,,,,,,,,,
