fight_id,event_id,r_fighter_id,b_fighter_id,r_fighter_name,b_fighter_name,weight_class,winner_corner,fight_url
c317f85a8266313e,012fc7cd0779c09a,447f9858ae78f921,33efaf2d0941cfcf,Muslim Salikhov,Andre Fialho,Welterweight,R,https://www.ufcstats.com/fight-details/c317f85a8266313e
c33257dd0605c7de,012fc7cd0779c09a,8667caa0451d245b,cd13728ae1151f46,Kennedy Nzechukwu,Ion Cutelaba,Light Heavyweight,R,https://www.ufcstats.com/fight-details/c33257dd0605c7de
d0c01840c72429c6,012fc7cd0779c09a,6b453bc35a823c3f,a6cba6bb66c1a8c9,Jack Della Maddalena,Danny Roberts,Welterweight,R,https://www.ufcstats.com/fight-details/d0c01840c72429c6
0ac5fc42ba039211,01dd4cdc2446f665,48a9a128784d53d1,aceffa19749c4dc0,Elves Brener,Zubaira Tukhugov,Lightweight,R,https://www.ufcstats.com/fight-details/0ac5fc42ba039211
16dbe70eb7007f17,01dd4cdc2446f665,102a8fdf8cbf7467,51c655162e462ceb,Kleydson Rodrigues,Shannon Ross,Flyweight,R,https://www.ufcstats.com/fight-details/16dbe70eb7007f17
2208b9f471a201d9,01dd4cdc2446f665,cbf5e6f231b55443,fba03cd6cc28dc41,Yair Rodriguez,Josh Emmett,Featherweight,R,https://www.ufcstats.com/fight-details/2208b9f471a201d9
256894b49303537b,01dd4cdc2446f665,275aca31f61ba28c,e1248941344b3288,Islam Makhachev,Alexander Volkanovski,Lightweight,R,https://www.ufcstats.com/fight-details/256894b49303537b
28af78600d6580f1,01dd4cdc2446f665,a9da3158dd2c2b5a,da4628f173337902,Jack Jenkins,Don Shainis,Featherweight,R,https://www.ufcstats.com/fight-details/28af78600d6580f1
4f672dd40867d8c6,01dd4cdc2446f665,6b453bc35a823c3f,c6aee362c7a7d482,Jack Della Maddalena,Randy Brown,Welterweight,R,https://www.ufcstats.com/fight-details/4f672dd40867d8c6
51a12878b151d67b,01dd4cdc2446f665,4e30e4250cb08b61,ac7c765882f2c68c,Loma Lookboonmee,Elise Reed,Women's Strawweight,R,https://www.ufcstats.com/fight-details/51a12878b151d67b
5c962ea13cb9b937,01dd4cdc2446f665,5095b0920a3602aa,4cd8b03aee1d0138,Blake Bilder,Shane Young,Featherweight,R,https://www.ufcstats.com/fight-details/5c962ea13cb9b937
8b7bc2af1e15b668,01dd4cdc2446f665,6751eacd16bd59bc,a52bc1e62cf0b7c6,Josh Culibao,Melsik Baghdasaryan,Featherweight,R,https://www.ufcstats.com/fight-details/8b7bc2af1e15b668
a37a6b6f9551a6e8,01dd4cdc2446f665,af9f42e6894047fc,3920d0cc288f9b0d,Jamie Mullarkey,Francisco Prado,Lightweight,R,https://www.ufcstats.com/fight-details/a37a6b6f9551a6e8
ca2672e68fedf4b7,01dd4cdc2446f665,476fe566d2df676e,49e96ff8ab781589,Modestas Bukauskas,Tyson Pedro,Light Heavyweight,R,https://www.ufcstats.com/fight-details/ca2672e68fedf4b7
da22d5a717ae9e35,01dd4cdc2446f665,e13abac8089a801a,ac40f7e3cbecdda4,Justin Tafa,Parker Porter,Heavyweight,R,https://www.ufcstats.com/fight-details/da22d5a717ae9e35
ec03739c836fadc8,01dd4cdc2446f665,70e1f8a821b72c8b,a495f599e787614f,Jimmy Crute,Alonzo Menifield,Light Heavyweight,D,https://www.ufcstats.com/fight-details/ec03739c836fadc8
0990ac7065412e76,02177caefe7c07d4,f53c1f4ceeed8c08,a0f0004aadf10b71,Dustin Ortiz,Alexandre Pantoja,Flyweight,R,https://www.ufcstats.com/fight-details/0990ac7065412e76
1b0fa021b1158121,02177caefe7c07d4,be0b310a12eb80b4,0b8d512c79b4baf3,Enrique Barzola,Matt Bessette,Featherweight,R,https://www.ufcstats.com/fight-details/1b0fa021b1158121
