K,accuracy
96,0.5526476702947292
80,0.5503240797358444
64,0.5483673718967836
48,0.5468998410174881
32,0.5467775467775468
40,0.5467775467775468
36,0.5464106640577229
20,0.5462883698177816
28,0.5461660755778402
56,0.5459214870979577
24,0.5455546043781337
8,0.5451877216583099
12,0.5451877216583099
16,0.5451877216583099
