fighter_name,url,http_ok,http_error,html_bytes,anti_bot_hit,table_found,event_headers,headers_skipped_unconfirmed,headers_skipped_future,headers_with_dates,main_rows_total,matched_rows,fights_yielded,name_match_example,last_header_date_example,missing_closing_both,missing_closing_one_side,open_missing_count,reason_if_empty
Chris Spang,https://www.bestfightodds.com/fighters/Chris-Spang-2895,yes,,17748,maybe,yes,5,0,0,5,5,0,0,chris spang -535 -245 ... -245 +15.7% ▲ rfa 9: curran vs. munhoz,Sep 23rd 2011,0,0,0,NAME_NEVER_FOUND
Andreas Stahl,https://www.bestfightodds.com/fighters/Andreas-Stahl-4385,yes,,24646,maybe,yes,10,0,0,10,10,0,0,andreas stahl -163 -110 ... -110 +15.5% ▲ oktagon,Sep 26th 2013,0,0,0,NAME_NEVER_FOUND
Joe Solecki,https://www.bestfightodds.com/fighters/Joe-Solecki-9559,yes,,26430,maybe,yes,10,0,0,10,10,0,0,joe solecki +330 +500 ... +750 +34.7% ▲ ufc fight night,Apr 10th 2021,0,0,0,NAME_NEVER_FOUND
Joe Soto,https://www.bestfightodds.com/fighters/Joe-Soto-1139,yes,,33284,maybe,yes,15,0,0,15,15,0,0,joe soto -115 +100 ... +105 +7.9% ▲ ufc fight night 125: machida vs. anders,Oct 8th 2009,0,0,0,NAME_NEVER_FOUND
Josh Stansbury,https://www.bestfightodds.com/fighters/Josh-Stansbury-1353,yes,,18021,maybe,yes,5,0,0,5,5,0,0,josh stansbury -120 -160 ... -157 -12.5% ▼ ufc fight night 112: chiesa vs. lee,Jun 22nd 2012,0,0,0,NAME_NEVER_FOUND
Andre Soukhamthath,https://www.bestfightodds.com/fighters/Andre-Soukhamthath-6190,yes,,28374,maybe,yes,12,0,0,12,12,0,0,andre soukhamthath -300 -225 ... -180 +10.7% ▲ ces 66,Nov 11th 2020,0,0,0,NAME_NEVER_FOUND
Dennis Siver,https://www.bestfightodds.com/fighters/Dennis-Siver-130,yes,,41401,maybe,yes,20,0,0,20,20,0,0,dennis siver -180 -135 ... -133 +10.9% ▲ ufc fight night 112: chiesa vs. lee,Sep 8th 2007,0,0,0,NAME_NEVER_FOUND
Punahele Soriano,https://www.bestfightodds.com/fighters/Punahele-Soriano-7386,yes,,26133,maybe,yes,11,0,0,11,11,0,0,punahele soriano +135 +175 ... +198 +17.8% ▲ ufc fight night,Jul 29th 2017,0,0,0,NAME_NEVER_FOUND
George Sotiropoulos,https://www.bestfightodds.com/fighters/George-Sotiropoulos-407,yes,,29334,maybe,yes,12,0,0,12,12,0,0,george sotiropoulos +235 +210 ... +245 -2.1% ▼ titan fc 29: ricci vs. sotiropoulos,Dec 8th 2007,0,0,0,NAME_NEVER_FOUND
Felicia Spencer,https://www.bestfightodds.com/fighters/Felicia-Spencer-7052,yes,,25617,maybe,yes,11,0,0,11,11,0,0,felicia spencer -400 -400 ... -333 +2.4% ▲ ufc fight night: holloway vs. rodriguez,Mar 25th 2017,0,0,0,NAME_NEVER_FOUND
Ron Stallings,https://www.bestfightodds.com/fighters/Ron-Stallings-2593,yes,,21252,maybe,yes,8,0,0,8,8,0,0,ron stallings -105 +145 ... +155 +21.9% ▲ ces mma 52: norwood vs. wells,Jul 22nd 2011,0,0,0,NAME_NEVER_FOUND
Clifford Starks,https://www.bestfightodds.com/fighters/Clifford-Starks-2870,yes,,25678,maybe,yes,11,0,0,11,11,0,0,clifford starks +175 +285 ... +290 +29.1% ▲ wsof 30: branch vs. starks,Oct 15th 2011,0,0,0,NAME_NEVER_FOUND
Bobby Southworth,https://www.bestfightodds.com/fighters/Bobby-Southworth-277,yes,,15501,maybe,yes,4,0,0,4,4,0,0,bobby southworth +285 +310 ... +310 +6.1% ▲ strikeforce: destruction,Sep 29th 2007,0,0,0,NAME_NEVER_FOUND
Eric Spicely,https://www.bestfightodds.com/fighters/Eric-Spicely-5689,yes,,30112,maybe,yes,14,0,0,14,14,0,0,eric spicely -275 -275 ... -275 fabriq mma,Jun 12th 2015,0,0,0,NAME_NEVER_FOUND
Sean Spencer,https://www.bestfightodds.com/fighters/Sean-Spencer-2753,yes,,29579,maybe,yes,13,0,0,13,13,0,0,sean spencer -400 -495 ... -400 -2.2% ▼ lfa 47: jackson vs. jennerman,Aug 13th 2011,0,0,0,NAME_NEVER_FOUND
Kody Steele,https://www.bestfightodds.com/fighters/Kody-Steele-12643,yes,,26272,maybe,yes,11,0,0,11,11,0,0,kody steele -238 -350 ... -333 -9.7% ▼ ufc,Oct 9th 2021,0,0,0,NAME_NEVER_FOUND
Kalib Starnes,https://www.bestfightodds.com/fighters/Kalib-Starnes-166,yes,,17774,maybe,yes,5,0,0,5,5,0,0,kalib starnes +185 +130 ... +135 -22.3% ▼ titan fc 28: brilz vs. davis,Nov 20th 2009,0,0,0,NAME_NEVER_FOUND
