fight_id,event_id,event_date_iso,red_name,blue_name,red_has_odds,blue_has_odds,matched_side,matched_name,missing_name,link_found,bfo_url,http_ok,http_error,html_len,table_found,blocks_total,blocks_with_header_date,matched_block,matched_block_used_row_fallback,matched_block_header_text,matched_block_event_date,opponent_row_assumed_second,open,close_low,close_high,reason_if_fail
84973bbdffaf0d0e,2c733e059462c1dc,2024-08-10,Marcin Tybura,Serghei Spivac,1,0,red,Marcin Tybura,Serghei Spivac,1,https://www.bestfightodds.com/fighters/Marcin-Tybura-6200,1,,50117,1,25,25,0,,,,1,,,,NO_HEADER_WITHIN_TOL
946cae1beed2baec,e6015889f50075d2,2025-02-08,Wang Cong,Bruna Brasil,0,1,blue,Bruna Brasil,Wang Cong,1,https://www.bestfightodds.com/fighters/Bruna-Brasil-13778,1,,22790,1,8,8,0,,,,1,,,,NO_HEADER_WITHIN_TOL
f80143e1f3c3d319,fe435e440b5de0ff,2024-08-03,Viktoriia Dudakova,Sam Hughes,0,1,blue,Sam Hughes,Viktoriia Dudakova,1,https://www.bestfightodds.com/fighters/Sam-Hughes-9863,1,,33146,1,16,16,0,,,,1,,,,NO_HEADER_WITHIN_TOL
3e2bde19e752f64b,026b4f7049085842,2024-07-27,King Green,Paddy Pimblett,0,1,blue,Paddy Pimblett,King Green,1,https://www.bestfightodds.com/fighters/Paddy-Pimblett-4242,1,,43254,1,24,23,0,,,,1,,,,NO_HEADER_WITHIN_TOL
6fa2dae90bda4742,5bdcbd8dd681a257,2024-10-12,Brad Tavares,JunYong Park,1,0,red,Brad Tavares,JunYong Park,1,https://www.bestfightodds.com/fighters/Brad-Tavares-1959,1,,54577,1,28,28,0,,,,1,,,,NO_HEADER_WITHIN_TOL
3b1438e9ec64990e,9c5828c6fd9dc948,2024-06-15,Asu Almabayev,Jose Johnson,0,1,blue,Jose Johnson,Asu Almabayev,1,https://www.bestfightodds.com/fighters/Jose-Johnson-9257,1,,26835,1,12,12,0,,,,1,,,,NO_HEADER_WITHIN_TOL
ec8bc554a0646638,c11036da9162cb5f,2024-07-20,Dooho Choi,Bill Algeo,0,1,blue,Bill Algeo,Dooho Choi,1,https://www.bestfightodds.com/fighters/Bill-Algeo-9171,1,,30490,1,13,13,0,,,,1,,,,NO_HEADER_WITHIN_TOL
b38450d9aa0f52b8,fe435e440b5de0ff,2024-08-03,Shara Magomedov,Michal Oleksiejczuk,0,1,blue,Michal Oleksiejczuk,Shara Magomedov,1,https://www.bestfightodds.com/fighters/Michal-Oleksiejczuk-7639,1,,28034,1,11,11,0,,,,1,,,,NO_HEADER_WITHIN_TOL
ec5d705232983b87,5dfe71ade71f3a4b,2024-05-11,Billy Ray Goff,Trey Waters,0,1,blue,Trey Waters,Billy Ray Goff,1,https://www.bestfightodds.com/fighters/Trey-Waters-13847,1,,19792,1,6,6,0,,,,1,,,,NO_HEADER_WITHIN_TOL
63605e9f3e71d738,46baf0f57edfa4df,2024-05-18,Alatengheili,Kleydson Rodrigues,0,1,blue,Kleydson Rodrigues,Alatengheili,1,https://www.bestfightodds.com/fighters/Kleydson-Rodrigues-12497,1,,21627,1,7,7,0,,,,1,,,,NO_HEADER_WITHIN_TOL
d2caa1ddb9de7481,be8ad887e4d674b0,2024-08-24,Zachary Reese,Jose Medina,0,1,blue,Jose Medina,Zachary Reese,1,https://www.bestfightodds.com/fighters/Jose-Medina-3601,1,,13919,1,3,3,0,,,,1,,,,NO_HEADER_WITHIN_TOL
45de6d0b9cf5451c,a16ce18149021139,2024-04-27,Ariane da Silva,Karine Silva,0,1,blue,Karine Silva,Ariane da Silva,1,https://www.bestfightodds.com/fighters/Karine-Silva-7814,1,,24658,1,9,9,0,,,,1,,,,NO_HEADER_WITHIN_TOL
5eebde8fb4d67259,66e0a70352fef46a,2024-07-13,Montel Jackson,Da'Mon Blackshear,1,0,red,Montel Jackson,Da'Mon Blackshear,1,https://www.bestfightodds.com/fighters/Montel-Jackson-8255,1,,30993,1,13,13,0,,,,1,,,,NO_HEADER_WITHIN_TOL
1631f70535ae5dcc,a16ce18149021139,2024-04-27,Ivana Petrovic,Liang Na,1,0,red,Ivana Petrovic,Liang Na,1,https://www.bestfightodds.com/fighters/Ivana-Petrovic-13667,1,,20019,1,6,6,0,,,,1,,,,NO_HEADER_WITHIN_TOL
99dc6d45cbdfa322,dba230fe33011201,2024-03-30,Virna Jandiroba,Loopy Godinez,1,0,red,Virna Jandiroba,Loopy Godinez,1,https://www.bestfightodds.com/fighters/Virna-Jandiroba-7726,1,,32764,1,14,14,0,,,,1,,,,NO_HEADER_WITHIN_TOL
72f123ddb4cc9d1c,79ff6545b0abc685,2024-03-23,Billy Quarantillo,Youssef Zalal,0,1,blue,Youssef Zalal,Billy Quarantillo,1,https://www.bestfightodds.com/fighters/Youssef-Zalal-8823,1,,32009,1,14,14,0,,,,1,,,,NO_HEADER_WITHIN_TOL
f1c3abce15ef053e,79ff6545b0abc685,2024-03-23,Montserrat Rendon,Daria Zhelezniakova,1,0,red,Montserrat Rendon,Daria Zhelezniakova,1,https://www.bestfightodds.com/fighters/Montserrat-Rendon-14504,1,,16815,1,4,4,0,,,,1,,,,NO_HEADER_WITHIN_TOL
efdad54c8550e6e0,6750e338922a099d,2024-04-13,King Green,Jim Miller,0,1,blue,Jim Miller,King Green,1,https://www.bestfightodds.com/fighters/Jim-Miller-265,1,,86343,1,49,49,0,,,,1,,,,NO_HEADER_WITHIN_TOL
35f9beb94b4ef9e2,c398235fcaf8d71d,2024-03-16,Ovince Saint Preux,Kennedy Nzechukwu,0,1,blue,Kennedy Nzechukwu,Ovince Saint Preux,1,https://www.bestfightodds.com/fighters/Kennedy-Nzechukwu-7454,1,,36359,1,17,17,0,,,,1,,,,NO_HEADER_WITHIN_TOL
3d3dde60e3d59c1c,a9df5ae20a97b090,2024-03-09,CJ Vergara,Asu Almabayev,1,0,red,CJ Vergara,Asu Almabayev,1,https://www.bestfightodds.com/fighters/Cj-Vergara-17015,1,,15184,1,3,3,0,,,,1,,,,NO_HEADER_WITHIN_TOL
78a7bf038e56881d,9c5828c6fd9dc948,2024-06-15,Timmy Cuamba,Lucas Almeida,0,1,blue,Lucas Almeida,Timmy Cuamba,1,https://www.bestfightodds.com/fighters/Lucas-Almeida-12571,1,,22659,1,8,8,0,,,,1,,,,NO_HEADER_WITHIN_TOL
5e8c710f9f27aff8,902ab9197b83d0db,2024-02-24,Ronaldo Rodriguez,Denys Bondar,0,1,blue,Denys Bondar,Ronaldo Rodriguez,1,https://www.bestfightodds.com/fighters/Denys-Bondar-10576,1,,15376,1,3,3,0,,,,1,,,,NO_HEADER_WITHIN_TOL
cde2f88251b73305,e4a9dbade7c7e1a7,2024-03-02,Vinicius Oliveira,Benardo Sopaj,1,0,red,Vinicius Oliveira,Benardo Sopaj,1,https://www.bestfightodds.com/fighters/Vinicius-Oliveira-16540,1,,18076,1,5,5,0,,,,1,,,,NO_HEADER_WITHIN_TOL
1456a3f96ac7e35b,dab0e6cb8c932162,2024-02-17,Marcos Rogerio de Lima,Junior Tafa,1,0,red,Marcos Rogerio de Lima,Junior Tafa,1,https://www.bestfightodds.com/fighters/Marcos-Rogerio-de-Lima-2779,1,,30172,1,12,12,0,,,,1,,,,NO_HEADER_WITHIN_TOL
edf46d6962be7e8d,eaea0fc7b76525a8,2024-02-10,Bolaji Oki,Timmy Cuamba,1,0,red,Bolaji Oki,Timmy Cuamba,1,https://www.bestfightodds.com/fighters/Bolaji-Oki-16406,1,,19693,1,6,6,0,,,,1,,,,NO_HEADER_WITHIN_TOL
063e7ce759c52f81,902ab9197b83d0db,2024-02-24,Cristian Quinonez,Raoni Barcelos,0,1,blue,Raoni Barcelos,Cristian Quinonez,1,https://www.bestfightodds.com/fighters/Raoni-Barcelos-4521,1,,43357,1,22,22,0,,,,1,,,,NO_HEADER_WITHIN_TOL
1afc4f372a125c74,5ef0088c1b19beeb,2023-12-09,JunYong Park,Andre Muniz,0,1,blue,Andre Muniz,JunYong Park,1,https://www.bestfightodds.com/fighters/Andre-Muniz-8538,1,,28483,1,12,12,0,,,,1,,,,NO_HEADER_WITHIN_TOL
fbedeb4e4b019b94,5ef0088c1b19beeb,2023-12-09,Tim Elliott,Sumudaerji,1,0,red,Tim Elliott,Sumudaerji,1,https://www.bestfightodds.com/fighters/Tim-Elliott-3288,1,,43693,1,21,21,0,,,,1,,,,NO_HEADER_WITHIN_TOL
d1d3b6ab8a56e973,902ab9197b83d0db,2024-02-24,Jesus Aguilar,Mateus Mendonca,0,1,blue,Mateus Mendonca,Jesus Aguilar,1,https://www.bestfightodds.com/fighters/Mateus-Mendonca-14501,1,,20029,1,6,6,0,,,,1,,,,NO_HEADER_WITHIN_TOL
35addc4646509286,5ef0088c1b19beeb,2023-12-09,HyunSung Park,Shannon Ross,0,1,blue,Shannon Ross,HyunSung Park,1,https://www.bestfightodds.com/fighters/Shannon-Ross-14184,1,,18028,1,5,5,0,,,,1,,,,NO_HEADER_WITHIN_TOL
c442899c21d58779,a8e8587a06e73c87,2023-12-16,Casey O'Neill,Ariane da Silva,1,0,red,Casey O'Neill,Ariane da Silva,1,https://www.bestfightodds.com/fighters/Casey-O-Neill-10524,1,,21683,1,7,7,0,,,,1,,,,NO_HEADER_WITHIN_TOL
6cd542650d886c22,eaea0fc7b76525a8,2024-02-10,Daniel Marcos,Aoriqileng,1,0,red,Daniel Marcos,Aoriqileng,1,https://www.bestfightodds.com/fighters/Daniel-Marcos-14365,1,,22821,1,8,8,0,,,,1,,,,NO_HEADER_WITHIN_TOL
91093a019d32af2e,5ef0088c1b19beeb,2023-12-09,Anthony Smith,Khalil Rountree Jr.,1,0,red,Anthony Smith,Khalil Rountree Jr.,1,https://www.bestfightodds.com/fighters/Anthony-Smith-1829,1,,62279,1,35,35,0,,,,1,,,,NO_HEADER_WITHIN_TOL
3adab28c5c6a9254,5ef0088c1b19beeb,2023-12-09,Song Kenan,Kevin Jousset,0,1,blue,Kevin Jousset,Song Kenan,1,https://www.bestfightodds.com/fighters/Kevin-Jousset-16429,1,,18172,1,5,5,0,,,,1,,,,NO_HEADER_WITHIN_TOL
0320a6a967069571,53e4e21f4c688801,2023-12-02,Zachary Reese,Cody Brundage,0,1,blue,Cody Brundage,Zachary Reese,1,https://www.bestfightodds.com/fighters/Cody-Brundage-10168,1,,33602,1,15,15,0,,,,1,,,,NO_HEADER_WITHIN_TOL
03eecf1926d9c77c,53e4e21f4c688801,2023-12-02,Jalin Turner,King Green,1,0,red,Jalin Turner,King Green,1,https://www.bestfightodds.com/fighters/Jalin-Turner-6854,1,,34310,1,16,16,0,,,,1,,,,NO_HEADER_WITHIN_TOL
7f7d2abc21f171ca,f3a078277b3b8ff4,2023-10-14,Terrance McKinney,Brendon Marotte,1,0,red,Terrance McKinney,Brendon Marotte,1,https://www.bestfightodds.com/fighters/Terrance-McKinney-9286,1,,36363,1,17,17,0,,,,1,,,,NO_HEADER_WITHIN_TOL
e966de63c8e6b1d5,c8a49ff2acb6f3c5,2023-10-07,Joe Pyfer,Abdul Razak Alhassan,0,1,blue,Abdul Razak Alhassan,Joe Pyfer,1,https://www.bestfightodds.com/fighters/Abdul-Razak-Alhassan-4724,1,,39307,1,20,20,0,,,,1,,,,NO_HEADER_WITHIN_TOL
d8335b728604b222,c945adc22c2bfe8f,2023-09-23,Marina Rodriguez,Michelle Waterson-Gomez,1,0,red,Marina Rodriguez,Michelle Waterson-Gomez,1,https://www.bestfightodds.com/fighters/Marina-Rodriguez-8543,1,,36689,1,17,17,0,,,,1,,,,NO_HEADER_WITHIN_TOL
a74a8c1e0a49070d,f3a078277b3b8ff4,2023-10-14,Chris Gutierrez,Alatengheili,1,0,red,Chris Gutierrez,Alatengheili,1,https://www.bestfightodds.com/fighters/Chris-Gutierrez-4725,1,,44320,1,23,23,0,,,,1,,,,NO_HEADER_WITHIN_TOL
adb411b0f418ce33,c945adc22c2bfe8f,2023-09-23,Mizuki,Hannah Goldy,0,1,blue,Hannah Goldy,Mizuki,1,https://www.bestfightodds.com/fighters/Hannah-Goldy-9170,1,,21559,1,7,7,0,,,,1,,,,NO_HEADER_WITHIN_TOL
1ba282da76ca82ad,f3a078277b3b8ff4,2023-10-14,Irina Alekseeva,Melissa Mullins,1,0,red,Irina Alekseeva,Melissa Mullins,1,https://www.bestfightodds.com/fighters/Irina-Alekseeva-12710,1,,16879,1,4,4,0,,,,1,,,,NO_HEADER_WITHIN_TOL
79f03eca3fe5cdb3,8fa2b06572365321,2023-09-16,Loopy Godinez,Elise Reed,0,1,blue,Elise Reed,Loopy Godinez,1,https://www.bestfightodds.com/fighters/Elise-Reed-9554,1,,29591,1,15,15,0,,,,1,,,,NO_HEADER_WITHIN_TOL
ea006bae605e2a6b,ef61d9f5176b3200,2023-09-02,Ciryl Gane,Serghei Spivac,1,0,red,Ciryl Gane,Serghei Spivac,1,https://www.bestfightodds.com/fighters/Ciryl-Gane-9273,1,,31429,1,13,13,0,,,,1,,,,NO_HEADER_WITHIN_TOL
56809feb4fe7ea61,ece280745f8727b8,2023-09-09,Blood Diamond,Charles Radtke,1,0,red,Blood Diamond,Charles Radtke,1,https://www.bestfightodds.com/fighters/Blood-Diamond-13276,1,,13758,1,2,2,0,,,,1,,,,NO_HEADER_WITHIN_TOL
f7bc845ce74f5fe7,89a407032911e27e,2023-08-26,Junior Tafa,Parker Porter,0,1,blue,Parker Porter,Junior Tafa,1,https://www.bestfightodds.com/fighters/Parker-Porter-3228,1,,30109,1,15,15,0,,,,1,,,,NO_HEADER_WITHIN_TOL
1aa4c2fa5ffaff00,c8a49ff2acb6f3c5,2023-10-07,Grant Dawson,King Green,1,0,red,Grant Dawson,King Green,1,https://www.bestfightodds.com/fighters/Grant-Dawson-5841,1,,34653,1,17,17,0,,,,1,,,,NO_HEADER_WITHIN_TOL
977250a28d3b8a3f,89a407032911e27e,2023-08-26,Billy Ray Goff,Yusaku Kinoshita,0,1,blue,Yusaku Kinoshita,Billy Ray Goff,1,https://www.bestfightodds.com/fighters/Yusaku-Kinoshita-14317,1,,17562,1,5,5,0,,,,1,,,,NO_HEADER_WITHIN_TOL
5d3e046b6bcd49f5,8fa2b06572365321,2023-09-16,Edgar Chairez,Daniel Lacerda,1,0,red,Edgar Chairez,Daniel Lacerda,1,https://www.bestfightodds.com/fighters/Edgar-Chairez-9509,1,,27319,1,11,11,0,,,,1,,,,NO_HEADER_WITHIN_TOL
bfc9989751bd0d04,89a407032911e27e,2023-08-26,Waldo Cortes-Acosta,Lukasz Brzeski,1,0,red,Waldo Cortes-Acosta,Lukasz Brzeski,1,https://www.bestfightodds.com/fighters/Waldo-Cortes-Acosta-12830,1,,30722,1,13,13,0,,,,1,,,,NO_HEADER_WITHIN_TOL
293c5f4c9aca5c54,89a407032911e27e,2023-08-26,Chidi Njokuani,Michal Oleksiejczuk,1,0,red,Chidi Njokuani,Michal Oleksiejczuk,1,https://www.bestfightodds.com/fighters/Chidi-Njokuani-2452,1,,50596,1,26,26,0,,,,1,,,,NO_HEADER_WITHIN_TOL
436a1ce6b0c6b4bb,6f81b6de2557739a,2023-08-05,Sean Woodson,Dennis Buzukja,1,0,red,Sean Woodson,Dennis Buzukja,1,https://www.bestfightodds.com/fighters/Sean-Woodson-9342,1,,30424,1,13,13,0,,,,1,,,,NO_HEADER_WITHIN_TOL
eff6ec2b2f1fb27b,ccd58ff71e260ed5,2023-07-29,Derrick Lewis,Marcos Rogerio de Lima,1,0,red,Derrick Lewis,Marcos Rogerio de Lima,1,https://www.bestfightodds.com/fighters/Derrick-Lewis-2610,1,,65070,1,35,35,0,,,,1,,,,NO_HEADER_WITHIN_TOL
3a8af8ee23444b72,f3a078277b3b8ff4,2023-10-14,Darren Elkins,TJ Brown,1,0,red,Darren Elkins,TJ Brown,1,https://www.bestfightodds.com/fighters/Darren-Elkins-1768,1,,57758,1,30,30,0,,,,1,,,,NO_HEADER_WITHIN_TOL
ee796ecb4ee8680b,2719f300b0439039,2023-08-19,Aljamain Sterling,Sean O'Malley,1,0,red,Aljamain Sterling,Sean O'Malley,1,https://www.bestfightodds.com/fighters/Aljamain-Sterling-4688,1,,45327,1,22,22,0,,,,1,,,,NO_HEADER_WITHIN_TOL
800a35b3a7e52308,ccd58ff71e260ed5,2023-07-29,Jan Blachowicz,Alex Pereira,0,1,blue,Alex Pereira,Jan Blachowicz,1,https://www.bestfightodds.com/fighters/Alex-Pereira-10463,1,,33074,1,15,14,0,,,,1,,,,NO_HEADER_WITHIN_TOL
2c160a1d1fdbf0b0,d2fa318f34d0aadc,2023-08-12,JP Buys,Marcus McGhee,0,1,blue,Marcus McGhee,JP Buys,1,https://www.bestfightodds.com/fighters/Marcus-McGhee-14050,1,,21337,1,7,7,0,,,,1,,,,NO_HEADER_WITHIN_TOL
3de326b65aa6245d,ccd58ff71e260ed5,2023-07-29,Matthew Semelsberger,Uros Medic,1,0,red,Matthew Semelsberger,Uros Medic,1,https://www.bestfightodds.com/fighters/Matthew-Semelsberger-10268,1,,29096,1,12,12,0,,,,1,,,,NO_HEADER_WITHIN_TOL
539732694ab2c8d6,13a0fb8fbdafb54f,2023-10-21,Shara Magomedov,Bruno Silva,0,1,blue,Bruno Silva,Shara Magomedov,1,https://www.bestfightodds.com/fighters/Bruno-Silva-7121,1,,32400,1,14,14,0,,,,1,,,,NO_HEADER_WITHIN_TOL
c57a4810c932b296,d2fa318f34d0aadc,2023-08-12,Khalil Rountree Jr.,Chris Daukaus,0,1,blue,Chris Daukaus,Khalil Rountree Jr.,1,https://www.bestfightodds.com/fighters/Chris-Daukaus-8527,1,,29266,1,13,13,0,,,,1,,,,NO_HEADER_WITHIN_TOL
f557405652165aa3,e9e1acc96536bb4f,2023-07-01,Sean Strickland,Abus Magomedov,1,0,red,Sean Strickland,Abus Magomedov,1,https://www.bestfightodds.com/fighters/Sean-Strickland-4733,1,,50440,1,26,26,0,,,,1,,,,NO_HEADER_WITHIN_TOL
531ce3d8011fa1f6,6f81b6de2557739a,2023-08-05,Ignacio Bahamondes,Ludovit Klein,1,0,red,Ignacio Bahamondes,Ludovit Klein,1,https://www.bestfightodds.com/fighters/Ignacio-Bahamondes-9750,1,,31859,1,14,14,0,,,,1,,,,NO_HEADER_WITHIN_TOL
f1eca70738ca073e,ccd58ff71e260ed5,2023-07-29,Tony Ferguson,King Green,1,0,red,Tony Ferguson,King Green,1,https://www.bestfightodds.com/fighters/Tony-Ferguson-2568,1,,49802,1,25,24,0,,,,1,,,,NO_HEADER_WITHIN_TOL
420f7e6530dbc727,6085ceb59087514b,2023-07-08,Shannon Ross,Jesus Aguilar,1,0,red,Shannon Ross,Jesus Aguilar,1,https://www.bestfightodds.com/fighters/Shannon-Ross-14184,1,,18028,1,5,5,0,,,,1,,,,NO_HEADER_WITHIN_TOL
ea29714dcfb07ce2,e9e1acc96536bb4f,2023-07-01,Ariane da Silva,Melissa Gatto,0,1,blue,Melissa Gatto,Ariane da Silva,1,https://www.bestfightodds.com/fighters/Melissa-Gatto-9088,1,,20184,1,6,6,0,,,,1,,,,NO_HEADER_WITHIN_TOL
