fight_id,event_id,date,matched_side,matched_fighter,db_opponent,bfo_opponent,bfo_opponent_url,offset_days,name_equal_norm,surname_subset,lev_distance,reason
fe6da751f2a4859a,563d051c9e769b24,2016-06-18,red,Valerie Letourneau,Joanne Wood,,,,,,,NO_HEADER_DATE_MATCH
969970fbe24945d0,990060b2a68a7b82,2016-05-29,blue,Adam Milstead,Chris de la Rocha,,,,,,,NO_HEADER_DATE_MATCH
05c8aeb2806be99c,3d481aa374c954a1,2016-04-23,red,Jon Jones,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
815fd4ebdc288e83,e7e970d508529bf3,2016-04-16,blue,Omari Akhmedov,Elizeu Zaleski dos Santos,,,,,,,NO_HEADER_DATE_MATCH
5e794b8ef52c88cb,ff4c3ab594c7fac3,2016-06-04,red,Jonathan Wilson,Henrique da Silva,,,,,,,NO_HEADER_DATE_MATCH
80c4f70b7f7a1945,a4bf17bd3ba3423b,2016-05-14,blue,Vitor Belfort,Jacare Souza,,,,,,,NO_HEADER_DATE_MATCH
9fc85aef42733a16,cd42bbe8887bba90,2016-07-08,red,Andrew Sanchez,Khalil Rountree Jr.,,,,,,,NO_HEADER_DATE_MATCH
e3fb9146a7eaaa47,e60201cfab7d656d,2016-03-19,blue,Mark Eddiva,Dan Hooker,,,,,,,NO_HEADER_DATE_MATCH
c5990f9767b16c48,a314687f372b2cec,2016-05-08,red,Karolina Kowalkiewicz,Heather Clark,,,,,,,NO_HEADER_DATE_MATCH
249b75a787dccfe6,e7e970d508529bf3,2016-04-16,red,John Dodson,Manvel Gamburyan,,,,,,,NO_HEADER_DATE_MATCH
ee46c069ebe691ff,5e7a28f20927d64a,2016-07-13,red,Lauren Murphy,Katlyn Cerminara,,,,,,,NO_HEADER_DATE_MATCH
28f5f50617f2b686,e7e970d508529bf3,2016-04-16,red,Rose Namajunas,Tecia Pennington,,,,,,,NO_HEADER_DATE_MATCH
d373de3e072f7e57,d56bb6dff2ae77eb,2016-02-21,red,Anthony Smith,Leonardo Guimaraes,,,,,,,NO_HEADER_DATE_MATCH
4fa02674b920ff0a,380e8b023290d091,2016-01-02,red,Dustin Poirier,Joe Duffy,,,,,,,NO_HEADER_DATE_MATCH
318449b3f9346566,b3fb8d2293e17a59,2016-01-30,blue,Felipe Olivieri,Anthony Rocco Martin,,,,,,,NO_HEADER_DATE_MATCH
f7fd4b82e827c9c4,80d918336163b80c,2015-12-19,red,Francis Ngannou,Luis Henrique,,,,,,,NO_HEADER_DATE_MATCH
0eab2845f901f8b6,354808cf38d9d73c,2015-12-12,blue,Jocelyn Jones-Lybarger,Tecia Pennington,,,,,,,NO_HEADER_DATE_MATCH
c4938baf92d2dc31,c6becb722706c7d8,2016-01-17,blue,Dominick Cruz,TJ Dillashaw,,,,,,,NO_HEADER_DATE_MATCH
d0a8304574e65ec9,de99da2c0d18d34a,2016-02-06,red,Joshua Burkman,KJ Noons,,,,,,,NO_HEADER_DATE_MATCH
a09bfdaa83d99efb,4d636c3aa1105950,2015-11-28,blue,Sam Sicilia,Dooho Choi,,,,,,,NO_HEADER_DATE_MATCH
f83c6bdd553b5851,354808cf38d9d73c,2015-12-12,blue,Yoel Romero,Jacare Souza,,,,,,,NO_HEADER_DATE_MATCH
3fc9fea36fc7ec37,80d918336163b80c,2015-12-19,blue,Nate Marquardt,CB Dollaway,,,,,,,NO_HEADER_DATE_MATCH
84d89d2f36d07dc0,243b07fc65ccbb16,2015-11-21,red,Cesar Arzamendia,Marco Polo Reyes,,,,,,,NO_HEADER_DATE_MATCH
d48f938269b8ed0b,354808cf38d9d73c,2015-12-12,red,Court McGee,Marcio Alexandre Junior,,,,,,,NO_HEADER_DATE_MATCH
766dc3c5592b4d0d,8d04923f2db59b7f,2015-11-14,blue,Robert Whittaker,Uriah Hall,,,,,,,NO_HEADER_DATE_MATCH
777df8b5e28f42ff,82f5c81f4e3c3eb5,2015-09-05,red,Clay Collard,Tiago dos Santos e Silva,,,,,,,NO_HEADER_DATE_MATCH
6d9f6f7004c791d5,5345f86680378fc1,2015-11-07,blue,Chas Skelly,Edimilson Souza,,,,,,,NO_HEADER_DATE_MATCH
37008594c087470c,de99da2c0d18d34a,2016-02-06,blue,Rafael Cavalcante,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
1cbb930fb77a3781,ff4c3ab594c7fac3,2016-06-04,blue,Dong Hyun Ma,Marco Polo Reyes,,,,,,,NO_HEADER_DATE_MATCH
6712440cd01dffdb,a4dd5c9a75763295,2015-09-26,red,Gegard Mousasi,Uriah Hall,,,,,,,NO_HEADER_DATE_MATCH
7ab1cdfe3e540856,119ebea97e914dcf,2015-10-03,red,Yair Rodriguez,Dan Hooker,,,,,,,NO_HEADER_DATE_MATCH
aa62b8f58fc09790,a9c45a8b21eabadc,2015-08-01,red,Mauricio Rua,Rogerio Nogueira,,,,,,,NO_HEADER_DATE_MATCH
7ac1c2f87b795742,4d636c3aa1105950,2015-11-28,blue,Marco Beltran,Guangyou Ning,,,,,,,NO_HEADER_DATE_MATCH
ea967877dd4d6efb,36877f0e62b25b96,2015-07-15,red,Scott Jorgensen,Manvel Gamburyan,,,,,,,NO_HEADER_DATE_MATCH
43b9e58ebf4a75ea,a890f9a791ed615d,2015-07-12,blue,Vicente Luque,Michael Graves,,,,,,,NO_HEADER_DATE_MATCH
95233ca23cdb02e6,a890f9a791ed615d,2015-07-12,red,Angela Magana,Michelle Waterson-Gomez,,,,,,,NO_HEADER_DATE_MATCH
d45474993a750878,ef7fa30364cbe7f2,2015-07-18,blue,Cortney Casey,Joanne Wood,,,,,,,NO_HEADER_DATE_MATCH
c7780ac294530c0d,ef7fa30364cbe7f2,2015-07-18,blue,Ivan Jorge,Joe Duffy,,,,,,,NO_HEADER_DATE_MATCH
2ef16a5ff3710c92,b71667c778b6d9e5,2015-08-08,red,Glover Teixeira,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
3b6dfd089301d16e,a58114c6dd0add64,2015-06-13,blue,Angela Hill,Tecia Pennington,,,,,,,NO_HEADER_DATE_MATCH
7af604e5aa43bb3b,aae0897825336b1a,2015-05-30,blue,Nicolas Dalby,Elizeu Zaleski dos Santos,,,,,,,NO_HEADER_DATE_MATCH
c13b2493018fc98b,b1605ea39fba6af6,2015-05-16,red,Nolan Ticman,Yao Zhikui,,,,,,,NO_HEADER_DATE_MATCH
97c302628f231da3,b1605ea39fba6af6,2015-05-16,blue,Kajan Johnson,Zhang Lipeng,,,,,,,NO_HEADER_DATE_MATCH
61d6b591430b6e25,aae0897825336b1a,2015-05-30,blue,Darren Till,Wendell Oliveira Marques,,,,,,,NO_HEADER_DATE_MATCH
49749ee78bc54a48,b1605ea39fba6af6,2015-05-16,blue,Jon Delos Reyes,Roldan Sangcha'an,,,,,,,NO_HEADER_DATE_MATCH
bf658320ccd69021,aae0897825336b1a,2015-05-30,blue,Alex Oliveira,KJ Noons,,,,,,,NO_HEADER_DATE_MATCH
f4717203e762d780,bc7cf284c1c2f16e,2015-04-18,blue,Chris Camozzi,Jacare Souza,,,,,,,NO_HEADER_DATE_MATCH
fe9a58e79d54695b,5de61b03868035ff,2015-04-11,blue,Maryna Moroz,Joanne Wood,,,,,,,NO_HEADER_DATE_MATCH
0c25bb24dbb63655,16d09e800ad7ec79,2015-04-04,red,Clay Guida,Robert Peralta,,,,,,,NO_HEADER_DATE_MATCH
7259a1046143e632,fa534853eb195270,2015-03-21,blue,Katsunori Kikuno,Edimilson Souza,,,,,,,NO_HEADER_DATE_MATCH
80551dceed42e7ab,b1605ea39fba6af6,2015-05-16,blue,Royston Wee,Guangyou Ning,,,,,,,NO_HEADER_DATE_MATCH
4f722e80eadb6d2f,8a1b4330c7957961,2015-05-09,red,Hatsu Hioki,Dan Hooker,,,,,,,NO_HEADER_DATE_MATCH
a7ff11c5dfe65e86,0577808d22dfe79c,2015-02-22,blue,Mike de la Torre,Tiago dos Santos e Silva,,,,,,,NO_HEADER_DATE_MATCH
ccbbf1ccd4513551,997b4f52f76a0b53,2015-04-25,red,Michael Bisping,CB Dollaway,,,,,,,NO_HEADER_DATE_MATCH
0eac602503b48b1a,fa534853eb195270,2015-03-21,red,Leonardo Santos,Anthony Rocco Martin,,,,,,,NO_HEADER_DATE_MATCH
f963d716384153ff,0c3838c8f7c620c2,2015-07-25,blue,Renan Barao,TJ Dillashaw,,,,,,,NO_HEADER_DATE_MATCH
2d24929eaadf0351,f9aa6376ae16bfb4,2015-01-18,blue,Shane Howell,Paddy Holohan,,,,,,,NO_HEADER_DATE_MATCH
a4badfa86304f799,f9c7fe2682af3802,2015-02-14,red,Efrain Escudero,Rodrigo de Lima,,,,,,,NO_HEADER_DATE_MATCH
d4d6c5ff6bef93ce,f54200f1dfb9b5d4,2015-03-14,red,Jake Lindsey,Joe Duffy,,,,,,,NO_HEADER_DATE_MATCH
c19f394f3c237789,bc7cf284c1c2f16e,2015-04-18,blue,Patrick Cummins,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
f9373ab59b7a853b,16d09e800ad7ec79,2015-04-04,blue,Timothy Johnson,Shamil Abdurakhimov,,,,,,,NO_HEADER_DATE_MATCH
eab6e19a2a2a67f0,706404da0775dcbc,2015-01-24,blue,Albert Tumenov,Nicholas Musoke,,,,,,,NO_HEADER_DATE_MATCH
